MONTH,DAY_OF_MONTH,DAY_OF_WEEK,CRS_DEP_TIME,DEP_TIME,ORIGIN,DEST,ARR_DEL15
1,1,5,1905,1907.0,ATL,SEA,0.0
1,1,5,1345,1344.0,DTW,MSP,0.0
1,1,5,940,942.0,ATL,SEA,0.0
1,1,5,819,820.0,SEA,MSP,0.0
1,1,5,2300,2256.0,SEA,DTW,0.0
1,1,5,1129,1127.0,MSP,ATL,0.0
1,2,6,1745,1745.0,ATL,MSP,0.0
1,2,6,1740,1751.0,MSP,SEA,0.0
1,2,6,1115,1115.0,MSP,SEA,0.0
1,2,6,1430,1443.0,MSP,ATL,0.0
1,2,6,825,828.0,ATL,JFK,0.0
1,2,6,1345,1355.0,ATL,SEA,0.0
1,2,6,725,721.0,ATL,MSP,0.0
1,2,6,835,841.0,DTW,SEA,0.0
1,2,6,1624,1622.0,DTW,ATL,0.0
1,3,7,1345,1337.0,MSP,DTW,0.0   
1,3,7,1300,1258.0,JFK,ATL,0.0
1,2,6,1728,1724.0,DTW,SEA,0.0
1,2,6,715,715.0,SEA,JFK,0.0
1,2,6,725,723.0,ATL,DTW,0.0
1,2,6,824,847.0,ATL,SEA,0.0
1,3,7,1456,1454.0,ATL,DTW,0.0
1,3,7,833,832.0,MSP,DTW,0.0
1,3,7,1508,1510.0,MSP,ATL,0.0
1,3,7,1340,1339.0,ATL,DTW,0.0
1,3,7,745,750.0,SEA,ATL,0.0
1,3,7,1440,1439.0,MSP,SEA,0.0
1,3,7,2020,2021.0,DTW,ATL,0.0
1,3,7,610,608.0,MSP,ATL,0.0
1,3,7,2355,4.0,SEA,ATL,0.0
1,3,7,1620,1621.0,ATL,SEA,0.0
1,3,7,1152,1151.0,MSP,DTW,0.0
1,4,1,1345,1350.0,DTW,ATL,0.0
1,4,1,1215,1236.0,DTW,SEA,1.0
1,4,1,1520,1521.0,SEA,MSP,1.0
1,2,6,1205,1205.0,ATL,DTW,0.0
1,2,6,1205,1219.0,ATL,MSP,0.0
1,3,7,1520,1602.0,SEA,MSP,1.0
1,3,7,1005,1003.0,DTW,ATL,0.0
1,3,7,1129,1155.0,MSP,ATL,0.0
1,3,7,824,831.0,ATL,SEA,0.0
1,3,7,830,826.0,JFK,ATL,0.0
1,3,7,650,650.0,MSP,SEA,0.0
1,3,7,1320,1319.0,MSP,ATL,0.0
1,3,7,710,710.0,SEA,MSP,0.0
1,3,7,1205,1206.0,DTW,ATL,0.0
1,3,7,1930,1927.0,DTW,JFK,0.0
1,4,1,1205,1205.0,DTW,ATL,0.0
1,4,1,1930,1939.0,DTW,JFK,0.0
1,4,1,1006,1019.0,DTW,MSP,0.0
1,4,1,2040,2041.0,ATL,DTW,0.0
1,5,2,1732,1728.0,MSP,ATL,0.0
1,5,2,1540,1535.0,DTW,MSP,0.0
1,5,2,1501,1537.0,JFK,ATL,0.0
1,5,2,700,658.0,JFK,SEA,0.0
1,3,7,1625,1705.0,JFK,SEA,1.0
1,3,7,1740,1741.0,ATL,JFK,0.0
1,3,7,1746,1741.0,DTW,ATL,0.0
1,3,7,2300,2302.0,SEA,DTW,0.0
1,3,7,840,841.0,ATL,MSP,0.0
1,3,7,805,803.0,JFK,MSP,0.0
1,3,7,2040,2040.0,ATL,DTW,0.0
1,4,1,1530,1530.0,MSP,DTW,0.0
1,4,1,1910,1911.0,MSP,ATL,0.0
1,4,1,1625,1654.0,JFK,MSP,1.0
1,4,1,700,701.0,JFK,SEA,0.0
1,4,1,1120,1211.0,SEA,MSP,1.0
1,4,1,1020,1020.0,MSP,JFK,0.0
1,4,1,958,1000.0,MSP,ATL,0.0
1,4,1,1025,1024.0,ATL,JFK,0.0
1,4,1,719,722.0,DTW,MSP,0.0
1,4,1,1940,2004.0,DTW,MSP,0.0
1,4,1,730,725.0,MSP,ATL,0.0
1,4,1,1455,1457.0,ATL,MSP,0.0
1,4,1,1752,1752.0,MSP,DTW,0.0
1,4,1,1345,1345.0,SEA,ATL,0.0
1,4,1,1905,1903.0,ATL,DTW,0.0
1,5,2,1735,1834.0,ATL,DTW,1.0
1,5,2,1350,1354.0,ATL,SEA,0.0
1,5,2,1350,1346.0,DTW,MSP,0.0
1,6,3,1627,1622.0,DTW,ATL,0.0
1,6,3,2050,2050.0,ATL,JFK,0.0
1,6,3,1200,1152.0,DTW,MSP,0.0
1,6,3,729,722.0,MSP,ATL,0.0
1,6,3,2000,1959.0,DTW,JFK,0.0
1,6,3,830,833.0,SEA,ATL,0.0
1,6,3,1215,1212.0,DTW,SEA,0.0
1,6,3,620,614.0,SEA,ATL,0.0
